Field,Soil Moisture (%),Temperature (°C),Humidity (%),Light Intensity (lux),pH Level,Nutrient Level (N),Nutrient Level (P),Nutrient Level (K),Growth Rate,Leaf Color,Disease Resistance,Yield Prediction,Soil Moisture,Nutrient Levels,Temperature,Pesticide Levels,Application Accuracy,Toxicity Levels,Residuals,Field Variability,Resource Efficiency,Cost Reduction,Yield Improvement,Weather Prediction,Market Trends,Yield Forecasting,Risk Management,Reservoir Levels,Irrigation Scheduling,Flood Prediction,Water Quality
Field_A,22.78,31.68,52.52,76892,82%,47.16,5.2,11.06,72%,100%,63%,90%,65%,61%,75%,93%,60%,87%,91%,69%,83%,64%,69%,63%,90%,94%,82%,86%,61%,67%,76%
Field_D,10.22,21.29,58.65,39272,82%,43.97,13.78,19.83,92%,79%,76%,73%,73%,80%,64%,95%,74%,80%,89%,70%,100%,86%,95%,81%,75%,60%,88%,92%,65%,81%,87%
Field_A,12.26,21.02,44.82,39037,88%,44.96,7.15,18.68,62%,83%,65%,90%,76%,65%,72%,93%,98%,71%,67%,60%,79%,96%,77%,92%,93%,96%,97%,84%,67%,72%,90%
Field_E,39.97,27.68,61.09,96261,100%,19.72,17.22,30.25,90%,86%,79%,90%,63%,62%,71%,69%,97%,86%,80%,63%,81%,80%,80%,71%,81%,94%,67%,70%,83%,69%,95%
Field_A,30.09,23.07,34.85,92838,67%,48.83,14.7,36.44,73%,72%,98%,82%,98%,81%,65%,99%,77%,63%,77%,88%,68%,83%,83%,93%,83%,66%,79%,89%,64%,96%,78%
Field_E,23.15,21.03,62.93,24166,94%,33.75,8.29,18.18,81%,73%,60%,93%,90%,84%,87%,62%,90%,70%,69%,89%,86%,80%,95%,62%,87%,66%,69%,70%,74%,60%,67%
Field_D,34.34,32.51,32.75,41908,63%,21.68,11.54,24.62,94%,83%,70%,97%,91%,94%,88%,81%,98%,82%,94%,68%,91%,72%,77%,63%,81%,96%,100%,93%,70%,80%,86%
Field_C,33.6,26.77,53.03,69447,75%,25.13,19.01,24.13,63%,88%,73%,94%,99%,71%,76%,80%,78%,95%,88%,72%,70%,93%,60%,74%,83%,98%,84%,72%,79%,62%,91%
Field_E,32.11,22.54,61.7,59980,64%,16.14,22.8,32.21,94%,74%,87%,79%,93%,93%,100%,97%,98%,90%,100%,71%,61%,73%,61%,98%,98%,90%,63%,99%,85%,93%,68%
Field_D,30.65,29.0,35.82,90713,80%,15.09,15.51,32.24,95%,68%,67%,95%,77%,99%,76%,79%,95%,85%,69%,95%,61%,76%,64%,79%,75%,85%,68%,86%,70%,89%,77%
Field_B,22.24,21.6,35.86,30602,89%,49.39,13.72,33.94,71%,75%,94%,60%,63%,97%,89%,65%,78%,68%,73%,91%,84%,91%,63%,80%,100%,95%,63%,77%,98%,63%,82%
Field_A,17.67,20.5,35.04,12693,68%,16.7,21.17,23.0,87%,94%,66%,62%,72%,68%,91%,71%,61%,78%,70%,60%,94%,75%,99%,95%,80%,62%,100%,90%,69%,60%,74%
Field_E,34.97,20.5,63.63,13297,88%,11.55,9.73,14.92,86%,73%,74%,90%,99%,66%,95%,89%,89%,85%,67%,94%,62%,80%,69%,60%,80%,87%,99%,75%,78%,71%,93%
Field_E,21.61,23.62,62.92,21431,91%,25.16,9.43,31.9,84%,93%,93%,86%,88%,81%,86%,89%,72%,68%,83%,65%,91%,63%,72%,89%,68%,98%,69%,69%,79%,60%,71%
Field_C,39.79,21.25,37.1,16280,89%,16.2,14.42,35.45,69%,64%,74%,77%,69%,98%,100%,73%,68%,69%,87%,92%,87%,74%,65%,90%,94%,75%,78%,84%,75%,73%,83%
Field_C,35.61,27.96,62.93,72493,64%,18.37,16.84,12.7,80%,76%,65%,100%,67%,67%,92%,81%,78%,96%,76%,74%,85%,63%,76%,80%,91%,66%,67%,82%,100%,77%,62%
Field_C,12.77,22.64,63.32,40029,70%,14.3,13.29,36.32,88%,82%,86%,94%,85%,62%,95%,89%,86%,78%,76%,77%,71%,71%,93%,97%,96%,64%,97%,67%,99%,97%,97%
Field_C,36.87,22.09,49.96,31699,76%,19.95,20.09,31.07,67%,83%,93%,99%,80%,80%,95%,76%,73%,64%,96%,99%,87%,98%,98%,69%,67%,98%,64%,64%,69%,92%,88%
Field_E,36.6,29.93,62.1,18689,67%,10.21,15.01,17.07,63%,70%,94%,68%,72%,86%,86%,74%,98%,63%,60%,81%,96%,79%,86%,94%,76%,74%,82%,61%,74%,99%,82%
Field_D,28.34,32.98,51.47,89131,90%,35.32,18.71,26.0,100%,98%,73%,78%,81%,65%,86%,84%,76%,95%,66%,60%,89%,99%,73%,62%,77%,92%,66%,93%,63%,63%,79%
Field_D,28.13,29.18,53.37,60866,85%,22.03,7.53,10.52,71%,80%,66%,78%,89%,89%,100%,92%,62%,67%,78%,69%,82%,81%,76%,65%,96%,98%,60%,61%,73%,94%,74%
Field_E,21.05,33.76,35.05,40497,86%,21.64,6.3,35.11,96%,77%,88%,82%,84%,82%,91%,74%,61%,87%,97%,84%,97%,95%,68%,63%,83%,91%,82%,100%,81%,100%,84%
Field_C,33.7,24.97,32.15,37742,84%,39.39,18.65,21.1,66%,79%,83%,85%,60%,65%,97%,81%,76%,90%,85%,94%,97%,83%,100%,82%,69%,99%,99%,97%,78%,65%,92%
Field_E,15.5,27.44,45.37,82857,93%,40.24,14.03,19.08,63%,77%,91%,74%,85%,74%,63%,75%,82%,75%,61%,66%,91%,95%,66%,69%,90%,76%,91%,75%,71%,79%,70%
Field_D,23.38,32.94,34.17,13134,74%,17.05,24.76,19.06,87%,75%,68%,77%,79%,68%,83%,71%,94%,68%,76%,98%,97%,86%,93%,81%,83%,72%,100%,93%,68%,94%,62%
Field_A,36.89,29.55,45.84,15329,83%,15.17,10.86,13.86,77%,74%,72%,60%,88%,83%,62%,93%,96%,85%,66%,82%,73%,89%,94%,63%,100%,70%,97%,68%,96%,82%,85%
Field_D,19.02,29.8,44.43,63334,66%,47.45,17.86,21.56,93%,69%,96%,90%,92%,90%,94%,81%,100%,75%,65%,81%,65%,97%,68%,61%,64%,76%,76%,98%,82%,78%,77%
Field_A,11.28,27.96,47.61,42036,99%,26.68,14.18,17.56,71%,83%,86%,82%,98%,75%,90%,88%,85%,80%,60%,67%,85%,67%,92%,86%,68%,62%,73%,94%,69%,100%,75%
Field_A,29.16,31.12,44.63,29595,95%,46.51,10.24,39.13,60%,72%,96%,84%,78%,74%,68%,64%,85%,91%,76%,98%,95%,89%,66%,87%,92%,67%,68%,80%,69%,86%,61%
Field_E,17.3,20.06,47.66,35227,93%,13.77,16.32,32.51,79%,86%,83%,82%,78%,92%,77%,77%,79%,63%,97%,65%,96%,70%,76%,70%,67%,78%,69%,75%,90%,67%,63%
Field_E,14.41,22.47,40.36,21583,75%,41.76,7.13,24.64,63%,69%,89%,97%,76%,71%,79%,60%,61%,91%,62%,61%,63%,79%,72%,79%,67%,99%,60%,100%,93%,67%,70%
Field_D,35.81,21.65,59.96,73568,83%,33.82,17.95,28.92,62%,100%,70%,82%,80%,90%,62%,76%,70%,66%,85%,94%,79%,63%,81%,89%,100%,79%,61%,84%,95%,72%,74%
Field_D,10.76,24.67,53.69,74395,90%,15.31,20.82,26.89,100%,99%,94%,85%,96%,72%,88%,90%,99%,64%,93%,65%,96%,97%,98%,71%,78%,86%,99%,63%,71%,67%,82%
Field_A,31.3,34.1,65.1,62178,99%,33.02,14.92,16.71,77%,99%,84%,62%,75%,94%,99%,83%,82%,91%,80%,65%,62%,91%,76%,62%,87%,90%,96%,79%,93%,86%,64%
Field_B,11.23,24.04,32.12,34179,73%,38.16,22.74,14.82,91%,60%,93%,62%,70%,60%,92%,66%,77%,60%,82%,90%,65%,78%,87%,81%,85%,91%,96%,70%,99%,60%,65%
Field_B,27.11,23.93,62.77,67166,88%,22.4,8.86,22.32,88%,82%,100%,78%,64%,61%,93%,97%,81%,65%,65%,100%,65%,88%,67%,72%,93%,98%,84%,89%,86%,77%,88%
Field_C,13.0,29.0,35.32,15902,69%,17.25,8.71,10.6,80%,86%,75%,76%,72%,99%,73%,87%,74%,100%,80%,90%,74%,93%,76%,81%,71%,81%,75%,88%,87%,75%,82%
Field_E,24.58,27.59,52.52,46044,95%,34.21,12.5,23.96,63%,73%,91%,88%,66%,74%,67%,68%,100%,88%,98%,87%,64%,63%,98%,84%,90%,67%,65%,92%,98%,61%,73%
Field_D,17.16,28.94,42.14,85809,75%,24.43,14.1,27.17,85%,65%,86%,67%,72%,100%,71%,76%,60%,65%,80%,60%,80%,65%,96%,63%,76%,99%,92%,95%,65%,84%,87%
Field_C,17.15,22.93,69.15,34175,72%,48.99,17.02,24.03,96%,72%,89%,80%,78%,96%,93%,68%,79%,62%,61%,85%,98%,72%,83%,63%,66%,82%,93%,81%,77%,80%,87%
Field_C,34.5,28.94,61.75,23554,64%,45.36,17.28,31.69,86%,98%,96%,70%,69%,94%,65%,85%,92%,78%,85%,64%,82%,91%,82%,75%,84%,97%,60%,82%,62%,99%,69%
Field_C,36.21,22.99,67.02,17514,89%,42.47,13.57,13.34,99%,85%,90%,87%,76%,60%,86%,80%,89%,77%,60%,86%,72%,86%,73%,99%,96%,80%,90%,100%,65%,75%,68%
Field_E,20.71,25.44,35.22,43954,78%,17.84,24.1,15.78,66%,99%,95%,83%,79%,88%,61%,78%,92%,83%,98%,75%,96%,82%,80%,89%,73%,98%,88%,95%,69%,63%,76%
Field_A,30.22,34.78,57.86,68699,99%,25.13,16.98,14.64,85%,82%,92%,70%,90%,90%,92%,62%,87%,92%,100%,60%,77%,72%,63%,63%,75%,69%,79%,92%,73%,76%,66%
Field_E,35.84,25.7,64.62,76556,61%,28.75,21.6,22.09,85%,88%,79%,76%,99%,67%,60%,69%,87%,64%,92%,82%,89%,96%,97%,83%,80%,78%,70%,85%,75%,71%,98%
Field_A,11.06,29.03,40.48,11830,70%,27.35,12.82,34.32,61%,99%,85%,63%,70%,94%,73%,89%,72%,83%,61%,67%,82%,81%,73%,64%,95%,61%,84%,62%,79%,75%,87%
Field_E,35.99,22.53,69.56,18806,62%,36.69,10.05,28.83,84%,94%,79%,90%,98%,61%,70%,81%,73%,66%,100%,63%,79%,95%,71%,68%,72%,78%,98%,85%,76%,96%,63%
Field_E,38.07,26.5,61.28,31932,90%,49.37,12.13,21.92,95%,98%,61%,68%,67%,85%,93%,79%,69%,85%,85%,65%,66%,74%,88%,70%,97%,78%,86%,92%,89%,89%,68%
Field_B,28.21,29.45,39.84,74957,94%,31.53,18.38,22.92,62%,85%,99%,73%,66%,66%,97%,84%,95%,81%,99%,61%,97%,88%,100%,95%,89%,76%,84%,69%,78%,98%,69%
Field_B,22.06,32.0,61.54,12319,100%,38.64,9.15,31.64,85%,90%,85%,93%,71%,85%,81%,65%,94%,63%,96%,77%,84%,81%,64%,68%,100%,62%,64%,78%,70%,86%,91%
Field_E,35.71,23.68,37.74,28042,74%,13.87,12.05,27.17,79%,69%,98%,61%,98%,80%,62%,88%,86%,79%,80%,63%,87%,95%,90%,66%,88%,92%,96%,84%,66%,79%,68%
Field_B,31.34,28.33,42.34,37822,70%,47.45,10.54,27.68,63%,93%,84%,99%,80%,69%,78%,88%,84%,66%,72%,93%,93%,72%,61%,97%,76%,97%,70%,81%,97%,94%,96%
Field_B,24.38,24.25,32.83,15936,77%,48.79,5.53,22.68,76%,96%,75%,62%,91%,97%,92%,86%,76%,75%,92%,96%,82%,61%,61%,80%,84%,78%,65%,83%,66%,72%,86%
Field_E,35.19,33.83,61.49,23162,93%,32.94,8.89,14.85,90%,86%,61%,83%,68%,85%,87%,71%,82%,66%,94%,80%,65%,64%,67%,82%,84%,74%,95%,69%,64%,71%,77%
Field_A,24.87,26.75,60.32,81278,74%,10.69,7.12,25.13,70%,75%,71%,89%,65%,73%,60%,70%,65%,82%,60%,97%,82%,70%,98%,73%,72%,71%,82%,97%,87%,95%,66%
Field_B,23.56,22.98,65.43,61610,97%,22.88,12.33,38.72,71%,88%,63%,72%,88%,80%,79%,77%,90%,65%,76%,99%,73%,63%,75%,81%,73%,93%,97%,96%,73%,75%,98%
Field_B,27.72,30.52,46.63,45400,98%,19.31,19.77,12.79,74%,64%,61%,92%,69%,90%,95%,82%,67%,95%,89%,80%,78%,84%,78%,62%,91%,66%,83%,81%,80%,93%,88%
Field_C,23.31,32.84,56.29,22753,73%,44.54,22.6,26.46,73%,92%,88%,78%,65%,68%,84%,83%,61%,71%,72%,79%,75%,82%,89%,91%,88%,72%,85%,64%,80%,97%,96%
Field_B,29.26,30.79,65.58,60599,89%,23.5,9.94,21.9,74%,92%,80%,69%,76%,99%,89%,70%,94%,76%,99%,61%,62%,85%,89%,67%,60%,84%,95%,67%,64%,61%,81%
Field_A,21.95,22.39,67.4,69714,77%,29.62,15.41,15.28,64%,79%,67%,80%,76%,60%,89%,89%,88%,68%,65%,90%,60%,84%,69%,79%,80%,98%,79%,99%,83%,75%,69%
Field_D,38.3,28.77,32.49,85351,78%,27.48,6.88,36.69,80%,65%,67%,88%,96%,67%,89%,100%,73%,88%,65%,83%,64%,68%,66%,62%,82%,89%,80%,62%,60%,91%,63%
Field_E,12.37,34.35,67.49,46499,69%,49.23,7.31,12.63,91%,63%,65%,92%,71%,99%,89%,80%,72%,65%,97%,73%,98%,85%,61%,61%,93%,72%,91%,84%,70%,66%,90%
Field_E,13.1,25.55,34.71,48290,69%,48.08,9.88,29.48,71%,72%,84%,80%,71%,95%,98%,71%,76%,80%,85%,68%,66%,73%,80%,60%,97%,86%,64%,67%,81%,68%,89%
Field_E,12.09,28.55,39.04,53943,84%,48.12,10.54,25.33,77%,78%,65%,69%,64%,81%,90%,72%,90%,85%,97%,98%,88%,93%,96%,60%,81%,76%,71%,74%,89%,78%,95%
Field_B,13.79,23.44,31.41,70626,74%,21.55,5.73,39.0,78%,66%,81%,95%,65%,74%,89%,67%,97%,68%,83%,65%,81%,68%,96%,90%,65%,87%,77%,92%,93%,65%,66%
Field_D,21.18,24.66,53.37,58794,77%,40.71,21.74,17.91,81%,74%,89%,79%,75%,90%,92%,78%,84%,84%,93%,69%,87%,70%,68%,85%,95%,90%,88%,99%,61%,93%,74%
Field_B,31.3,29.86,35.7,88780,94%,11.23,5.32,28.4,90%,61%,79%,67%,89%,90%,91%,91%,98%,61%,80%,93%,65%,68%,76%,79%,65%,76%,63%,89%,76%,66%,99%
Field_D,20.65,20.69,55.14,54471,92%,23.55,10.69,39.12,97%,83%,95%,87%,89%,60%,67%,87%,100%,82%,75%,97%,75%,98%,61%,90%,85%,77%,95%,85%,63%,66%,100%
Field_A,33.36,32.88,35.29,52315,89%,21.13,12.52,31.83,66%,72%,71%,86%,97%,80%,100%,84%,83%,91%,83%,85%,79%,72%,83%,90%,75%,83%,96%,74%,89%,89%,84%
Field_D,37.55,29.55,52.59,18705,94%,42.7,11.16,11.09,71%,76%,96%,87%,78%,65%,91%,89%,75%,62%,91%,90%,76%,96%,95%,70%,67%,98%,90%,91%,70%,62%,61%
Field_B,14.46,33.92,40.13,95416,86%,15.0,16.99,14.72,84%,76%,93%,85%,96%,60%,73%,61%,100%,79%,66%,82%,69%,61%,76%,80%,63%,87%,99%,98%,100%,100%,96%
Field_D,28.27,31.35,35.09,62351,78%,49.1,8.25,26.62,82%,85%,95%,93%,98%,83%,89%,73%,92%,77%,89%,95%,90%,76%,81%,71%,90%,78%,94%,75%,70%,76%,68%
Field_D,30.49,27.89,40.37,82158,64%,47.61,5.54,18.78,62%,60%,60%,86%,95%,82%,91%,92%,71%,69%,87%,90%,67%,94%,95%,64%,85%,75%,85%,99%,78%,80%,84%
Field_A,36.63,33.0,68.59,93863,78%,23.29,22.22,38.53,86%,78%,78%,60%,65%,75%,88%,72%,74%,90%,68%,91%,67%,80%,88%,61%,85%,70%,99%,86%,72%,62%,80%
Field_B,36.96,32.74,65.41,31112,71%,27.16,9.1,18.56,69%,66%,67%,79%,87%,60%,68%,60%,61%,99%,67%,95%,80%,63%,76%,68%,74%,66%,84%,92%,91%,86%,90%
Field_E,39.06,28.58,64.32,96014,98%,46.28,5.09,20.85,98%,85%,95%,60%,74%,70%,72%,90%,78%,90%,62%,67%,97%,98%,90%,74%,89%,71%,95%,84%,61%,93%,87%
Field_E,33.82,33.78,54.21,31674,69%,46.73,12.8,22.11,79%,100%,82%,90%,62%,61%,86%,70%,65%,80%,99%,74%,81%,76%,75%,90%,91%,97%,74%,94%,69%,72%,77%
Field_C,37.53,22.73,46.54,84761,76%,40.22,23.35,16.21,60%,81%,89%,97%,60%,96%,67%,77%,81%,96%,95%,95%,97%,77%,81%,83%,89%,64%,68%,96%,66%,64%,73%
Field_C,35.4,33.51,42.18,32982,79%,40.67,20.97,39.84,62%,78%,83%,60%,66%,77%,60%,89%,84%,65%,79%,60%,82%,74%,61%,89%,74%,78%,76%,78%,75%,100%,100%
Field_B,38.2,30.34,49.09,32025,80%,39.38,20.29,31.63,72%,82%,94%,71%,70%,73%,91%,65%,91%,95%,79%,66%,62%,75%,89%,77%,65%,78%,98%,99%,62%,95%,69%
Field_E,22.96,22.3,66.41,77890,61%,18.74,16.77,25.86,70%,85%,94%,64%,76%,93%,100%,61%,62%,70%,95%,61%,91%,74%,83%,82%,76%,85%,64%,79%,77%,77%,65%
Field_B,17.94,30.45,56.52,79248,65%,38.65,20.26,14.85,87%,79%,88%,90%,83%,100%,70%,81%,98%,85%,100%,63%,91%,66%,90%,83%,79%,78%,92%,82%,73%,81%,76%
Field_E,30.04,32.03,63.11,44038,69%,10.56,23.36,14.37,68%,84%,73%,79%,75%,87%,98%,80%,85%,77%,80%,80%,64%,82%,99%,96%,60%,66%,70%,81%,78%,90%,98%
Field_C,27.87,29.29,64.85,28411,74%,42.59,5.08,31.98,77%,96%,81%,69%,80%,79%,81%,65%,94%,82%,100%,88%,77%,89%,82%,93%,81%,73%,68%,89%,95%,63%,79%
Field_B,32.89,21.34,38.27,56857,64%,12.69,19.96,35.6,94%,92%,83%,87%,91%,100%,78%,69%,88%,100%,68%,88%,90%,79%,83%,84%,64%,76%,69%,70%,72%,78%,72%
Field_C,30.59,32.0,58.92,72141,72%,37.81,18.74,27.55,82%,84%,89%,91%,70%,68%,95%,80%,91%,98%,91%,91%,93%,74%,94%,88%,63%,88%,60%,78%,94%,84%,68%
Field_D,11.22,26.18,51.16,72320,97%,36.16,20.99,30.7,60%,67%,69%,89%,95%,74%,74%,74%,92%,70%,75%,67%,67%,79%,92%,99%,76%,60%,68%,75%,81%,62%,63%
Field_B,36.57,21.03,33.49,47962,76%,31.3,15.06,37.73,91%,79%,67%,78%,70%,84%,97%,92%,66%,79%,66%,74%,82%,75%,62%,94%,66%,65%,85%,66%,62%,92%,92%
Field_A,13.61,27.12,47.56,38502,90%,32.28,9.52,36.85,83%,97%,65%,94%,85%,72%,89%,99%,76%,76%,95%,79%,91%,98%,70%,100%,80%,75%,80%,75%,80%,60%,73%
Field_D,12.23,20.97,54.2,28411,79%,30.92,8.06,38.17,86%,91%,73%,82%,89%,91%,77%,62%,70%,83%,93%,64%,61%,83%,64%,62%,100%,94%,79%,85%,68%,82%,90%
Field_A,39.37,21.58,60.04,41339,88%,24.04,21.81,31.05,89%,83%,65%,71%,91%,91%,68%,86%,60%,96%,68%,99%,85%,60%,60%,65%,77%,64%,69%,66%,93%,73%,69%
Field_D,30.02,21.43,60.89,28699,97%,17.77,22.82,29.88,85%,77%,96%,100%,97%,96%,76%,64%,74%,95%,61%,71%,97%,93%,76%,91%,88%,67%,96%,92%,60%,82%,85%
Field_B,10.91,30.35,59.25,10833,73%,30.82,16.73,17.36,62%,74%,100%,90%,92%,87%,78%,78%,70%,83%,90%,63%,62%,69%,66%,82%,64%,88%,95%,80%,74%,98%,99%
Field_B,16.93,24.58,64.35,23289,71%,25.52,9.63,20.06,100%,84%,80%,99%,60%,64%,72%,79%,89%,61%,77%,86%,75%,61%,92%,81%,96%,88%,84%,66%,95%,85%,85%
Field_C,33.03,20.61,54.36,76705,89%,24.13,13.77,26.29,84%,82%,61%,64%,62%,79%,66%,73%,76%,72%,82%,67%,64%,98%,82%,99%,61%,99%,75%,64%,70%,99%,72%
Field_E,35.34,26.85,65.8,37037,92%,27.74,12.39,29.32,61%,61%,84%,61%,97%,72%,86%,76%,78%,71%,81%,76%,71%,91%,79%,86%,98%,61%,95%,76%,85%,99%,85%
Field_D,18.89,33.17,49.71,72245,72%,49.04,14.04,15.34,79%,100%,66%,76%,98%,85%,98%,88%,60%,85%,69%,73%,97%,82%,70%,77%,73%,72%,60%,70%,88%,95%,64%
Field_C,31.88,21.78,50.61,72953,70%,29.63,7.9,17.08,74%,69%,72%,69%,97%,83%,93%,67%,78%,83%,75%,100%,72%,91%,83%,93%,89%,79%,94%,88%,87%,87%,71%
Field_C,14.71,24.81,35.31,84955,62%,46.63,19.13,38.27,89%,77%,64%,90%,60%,70%,71%,98%,71%,67%,84%,65%,87%,69%,97%,62%,91%,65%,75%,72%,65%,63%,82%
Field_B,21.68,23.85,47.24,21263,95%,16.43,14.56,39.35,93%,87%,65%,68%,96%,87%,98%,83%,81%,92%,95%,88%,67%,82%,97%,70%,92%,64%,95%,81%,83%,99%,84%
Field_E,38.27,25.54,30.69,72035,96%,33.14,5.33,35.99,88%,72%,92%,81%,71%,63%,90%,70%,81%,94%,86%,95%,90%,93%,85%,80%,61%,77%,60%,78%,83%,96%,87%
Field_D,10.03,29.39,39.77,50756,73%,11.77,8.1,21.63,97%,91%,71%,81%,93%,78%,78%,64%,72%,70%,69%,80%,85%,87%,98%,77%,77%,93%,85%,67%,88%,72%,94%
Field_C,21.25,29.48,69.4,91977,87%,20.45,17.0,10.09,94%,79%,70%,86%,89%,67%,87%,97%,61%,95%,93%,62%,65%,90%,81%,81%,88%,69%,79%,89%,76%,65%,67%
Field_B,10.16,28.55,32.57,76780,61%,22.8,6.72,14.3,84%,92%,85%,64%,95%,63%,87%,77%,83%,93%,83%,80%,91%,78%,71%,72%,100%,91%,72%,85%,60%,83%,62%
Field_C,14.94,21.09,56.51,97391,70%,33.09,12.71,15.64,81%,83%,96%,61%,76%,96%,80%,81%,85%,82%,83%,93%,77%,71%,69%,100%,99%,69%,75%,89%,79%,75%,83%
Field_A,28.39,20.86,49.46,61275,93%,35.07,14.81,28.68,71%,90%,80%,97%,63%,64%,91%,83%,69%,67%,83%,69%,70%,87%,69%,94%,81%,95%,81%,92%,65%,71%,89%
Field_A,38.39,26.58,50.29,53147,92%,42.4,21.59,15.05,74%,67%,70%,62%,94%,67%,76%,71%,89%,71%,83%,88%,71%,60%,75%,78%,66%,70%,87%,89%,95%,66%,75%
Field_B,34.21,34.34,69.87,48505,89%,25.86,21.59,19.74,84%,82%,69%,85%,66%,97%,97%,63%,98%,91%,73%,72%,69%,68%,64%,76%,90%,71%,68%,96%,73%,89%,83%
Field_C,22.02,25.55,40.97,39141,74%,21.6,10.94,17.58,63%,64%,90%,89%,90%,94%,80%,81%,62%,77%,70%,97%,93%,91%,75%,87%,60%,80%,98%,100%,70%,65%,84%
Field_E,39.85,25.53,60.73,81135,91%,32.15,8.1,13.49,85%,74%,61%,77%,81%,97%,87%,82%,93%,63%,91%,74%,62%,86%,84%,67%,82%,96%,100%,80%,92%,61%,84%
Field_C,28.07,32.87,37.51,30392,97%,23.54,22.3,13.85,77%,60%,72%,84%,69%,97%,84%,89%,94%,61%,87%,100%,63%,95%,77%,89%,92%,83%,73%,72%,98%,96%,88%
Field_E,13.49,33.64,35.99,68156,84%,37.88,22.89,34.28,85%,86%,68%,76%,78%,88%,65%,96%,90%,68%,74%,98%,85%,60%,77%,69%,76%,74%,77%,80%,97%,95%,73%
Field_A,19.3,21.2,68.22,27216,99%,28.49,14.63,19.4,92%,74%,73%,72%,77%,77%,69%,86%,79%,98%,76%,71%,89%,86%,71%,90%,95%,70%,91%,82%,87%,96%,79%
Field_D,27.84,27.05,32.9,15200,89%,32.2,10.34,28.55,75%,73%,75%,84%,61%,66%,88%,73%,90%,69%,87%,83%,74%,95%,97%,61%,81%,65%,71%,66%,79%,78%,91%
Field_C,33.11,30.71,37.48,35597,68%,30.47,16.46,38.91,92%,70%,76%,90%,76%,63%,78%,72%,93%,100%,78%,65%,89%,62%,86%,88%,70%,79%,69%,62%,78%,88%,100%
Field_D,38.73,20.82,69.54,90277,85%,26.14,16.12,16.71,81%,84%,93%,82%,85%,79%,99%,88%,86%,63%,73%,74%,98%,69%,66%,90%,98%,71%,82%,94%,73%,70%,86%
Field_A,38.26,31.33,35.1,68403,80%,47.69,24.1,27.91,90%,95%,81%,73%,63%,80%,68%,92%,73%,84%,78%,82%,82%,93%,99%,81%,91%,82%,80%,97%,86%,73%,80%
Field_C,13.67,20.01,31.23,38378,73%,15.53,20.75,16.78,62%,91%,61%,87%,90%,73%,84%,69%,85%,91%,79%,94%,80%,83%,67%,65%,94%,85%,96%,60%,60%,60%,60%
Field_B,18.94,26.21,64.33,90328,81%,17.86,19.21,20.9,69%,92%,92%,77%,96%,96%,75%,60%,71%,70%,88%,75%,60%,88%,71%,91%,94%,93%,79%,86%,97%,83%,61%
Field_C,12.57,23.06,67.55,51324,70%,12.01,14.2,28.5,74%,69%,81%,75%,62%,83%,80%,74%,70%,93%,86%,79%,81%,69%,82%,86%,99%,89%,74%,70%,92%,97%,90%
Field_E,11.41,29.51,39.21,53838,72%,38.28,13.8,11.28,71%,89%,74%,85%,85%,72%,84%,77%,98%,98%,62%,96%,68%,80%,81%,89%,98%,61%,79%,83%,69%,75%,71%
Field_E,38.29,32.51,52.27,73186,71%,31.56,16.36,37.34,68%,90%,77%,73%,77%,70%,91%,60%,73%,79%,85%,67%,68%,92%,84%,69%,84%,93%,100%,87%,64%,100%,64%
Field_D,36.49,28.72,63.84,26428,87%,37.89,16.69,37.06,69%,99%,84%,77%,65%,70%,81%,96%,80%,85%,91%,76%,91%,68%,92%,76%,65%,84%,91%,62%,72%,90%,81%
Field_A,20.89,30.57,57.64,75529,86%,41.23,5.92,24.63,87%,99%,79%,66%,89%,70%,66%,82%,62%,98%,62%,84%,89%,60%,97%,73%,67%,64%,69%,80%,88%,70%,79%
Field_B,33.85,32.07,46.26,82496,93%,42.79,12.74,37.14,65%,91%,75%,70%,75%,60%,74%,96%,96%,64%,74%,79%,66%,62%,66%,81%,96%,81%,81%,100%,61%,61%,73%
Field_A,35.99,20.76,65.23,31123,94%,25.1,20.75,17.03,98%,95%,80%,68%,81%,79%,97%,88%,77%,64%,93%,92%,98%,66%,92%,68%,70%,64%,89%,69%,100%,95%,74%
Field_E,30.57,20.2,51.91,32191,85%,49.43,11.21,38.95,65%,65%,94%,96%,63%,74%,67%,90%,61%,92%,68%,83%,65%,64%,71%,67%,70%,90%,76%,82%,86%,80%,73%
Field_C,30.9,34.31,53.42,91877,80%,31.57,21.71,35.21,65%,97%,62%,99%,82%,68%,66%,89%,80%,98%,79%,90%,81%,97%,93%,81%,85%,83%,97%,92%,80%,97%,83%
Field_D,33.32,24.98,54.66,15857,89%,26.2,14.21,35.71,92%,62%,77%,87%,99%,65%,92%,68%,64%,68%,77%,82%,82%,97%,89%,67%,61%,68%,90%,93%,80%,69%,94%
Field_D,25.96,31.91,62.79,28630,61%,37.67,19.21,19.21,80%,79%,74%,83%,73%,63%,64%,92%,95%,72%,89%,81%,85%,97%,86%,60%,100%,79%,60%,87%,66%,60%,96%
Field_D,21.33,27.96,66.45,33167,67%,11.91,10.12,36.52,74%,88%,86%,62%,61%,74%,84%,88%,76%,66%,83%,69%,62%,78%,67%,85%,82%,97%,65%,93%,65%,96%,88%
Field_B,23.41,34.21,32.41,33484,67%,27.08,5.97,14.82,93%,93%,61%,74%,98%,63%,91%,70%,73%,74%,80%,98%,80%,85%,86%,87%,75%,63%,60%,90%,81%,69%,60%
